,X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
1424,4708236.795969041,2253504.3704670104,2022-06-23,120.0,-0.012332684,229.7443072795868,461.2863737344742,703.6787205934525
1425,4708276.819382214,2253504.217317268,2022-06-23,120.0,-0.011431289,229.7443072795868,461.2863737344742,703.6787205934525
1426,4708316.842786609,2253504.0641676034,2022-06-23,120.0,-0.012771111,229.7443072795868,461.2863737344742,703.6787205934525
1427,4708356.866182227,2253503.9110180177,2022-06-23,120.0,-0.010724455,229.7443072795868,461.2863737344742,703.6787205934525
1428,4708396.889569066,2253503.7578685107,2022-06-23,120.0,-0.009250546,229.7443072795868,461.2863737344742,703.6787205934525
1429,4708436.9129471285,2253503.604719082,2022-06-23,120.0,-0.0093576135,229.7443072795868,461.2863737344742,703.6787205934525
1430,4708476.936316415,2253503.4515697323,2022-06-23,120.0,-0.0070855543,229.7443072795868,461.2863737344742,703.6787205934525
1431,4708116.572531231,2253464.80647278,2022-06-23,120.0,-0.015124365,229.7443072795868,461.2863737344742,703.6787205934525
1432,4708156.595970814,2253464.6533315782,2022-06-23,120.0,-0.0123041365,229.7443072795868,461.2863737344742,703.6787205934525
1433,4708196.619401619,2253464.5001904555,2022-06-23,120.0,-0.014115447,229.7443072795868,461.2863737344742,703.6787205934525
1434,4708236.642823648,2253464.3470494114,2022-06-23,120.0,-0.009038067,229.7443072795868,461.2863737344742,703.6787205934525
1435,4708276.666236898,2253464.1939084465,2022-06-23,120.0,-0.012258809,229.7443072795868,461.2863737344742,703.6787205934525
1436,4708316.689641371,2253464.04076756,2022-06-23,120.0,-0.012696033,229.7443072795868,461.2863737344742,703.6787205934525
1437,4708356.713037067,2253463.887626751,2022-06-23,120.0,-0.01492151,229.7443072795868,461.2863737344742,703.6787205934525
1438,4708116.419394379,2253424.78302877,2022-06-23,120.0,-0.007151204,229.7443072795868,461.2863737344742,703.6787205934525
1439,4708156.442834041,2253424.629896346,2022-06-23,120.0,-0.014420409,229.7443072795868,461.2863737344742,703.6787205934525
1440,4708196.466264925,2253424.4767640005,2022-06-23,120.0,-0.014207194,229.7443072795868,461.2863737344742,703.6787205934525
1441,4708236.489687032,2253424.323631734,2022-06-23,120.0,-0.014002815,229.7443072795868,461.2863737344742,703.6787205934525
1442,4708276.51310036,2253424.170499546,2022-06-23,120.0,-0.013288531,229.7443072795868,461.2863737344742,703.6787205934525
1443,4708316.536504913,2253424.017367436,2022-06-23,120.0,-0.007871349,229.7443072795868,461.2863737344742,703.6787205934525
1444,4708076.2428177865,2253384.9127084063,2022-06-23,120.0,-0.013085806,229.7443072795868,461.2863737344742,703.6787205934525
1445,4708116.266266305,2253384.759584681,2022-06-23,120.0,-0.012165481,229.7443072795868,461.2863737344742,703.6787205934525
1446,4708156.289706045,2253384.6064610346,2022-06-23,120.0,-0.009774736,229.7443072795868,461.2863737344742,703.6787205934525
1447,4708196.313137006,2253384.453337467,2022-06-23,120.0,-0.014610409,229.7443072795868,461.2863737344742,703.6787205934525
1448,4708236.336559193,2253384.3002139777,2022-06-23,120.0,-0.0114164185,229.7443072795868,461.2863737344742,703.6787205934525
1449,4708276.359972601,2253384.147090567,2022-06-23,120.0,-0.012929901,229.7443072795868,461.2863737344742,703.6787205934525
1450,4708076.089698411,2253344.889255462,2022-06-23,120.0,-0.015081433,229.7443072795868,461.2863737344742,703.6787205934525
1451,4708116.113147007,2253344.736140514,2022-06-23,120.0,-0.011574845,229.7443072795868,461.2863737344742,703.6787205934525
1452,4708156.136586826,2253344.583025645,2022-06-23,120.0,-0.012385402,229.7443072795868,461.2863737344742,703.6787205934525
1453,4708196.160017867,2253344.429910855,2022-06-23,120.0,-0.013557916,229.7443072795868,461.2863737344742,703.6787205934525
1454,4708236.183440132,2253344.2767961426,2022-06-23,120.0,-0.013277599,229.7443072795868,461.2863737344742,703.6787205934525
1455,4708075.936587813,2253304.8658024385,2022-06-23,120.0,-0.01657174,229.7443072795868,461.2863737344742,703.6787205934525
